SUBRGN,SRNAME,NAMEPCAP,SRHTIAN,SRHTIOZ,SRHTIANT,SRHTIOZT,SRNGENAN,SRNGENOZ,SRNOXAN,SRNOXOZ,SRSO2AN,SRCO2AN,SRCH4AN,SRN2OAN,SRCO2EQA,SRHGAN,SRNOXRTA,SRNOXRTO,SRSO2RTA,SRCO2RTA,SRCH4RTA,SRN2ORTA,SRC2ERTA,SRHGRTA,SRNOXRA,SRNOXRO,SRSO2RA,SRCO2RA,SRHGRA,SRNOXCRT,SRNOXCRO,SRSO2CRT,SRCO2CRT,SRCH4CRT,SRN2OCRT,SRHGCRT,SRCNOXRT,SRONOXRT,SRGNOXRT,SRFSNXRT,SRCNXORT,SRONXORT,SRGNXORT,SRFSNORT,SRCSO2RT,SROSO2RT,SRGSO2RT,SRFSS2RT,SRCCO2RT,SROCO2RT,SRGCO2RT,SRFSC2RT,SRCCH4RT,SROCH4RT,SRGCH4RT,SRFCH4RT,SRCN2ORT,SRON2ORT,SRGN2ORT,SRFN2ORT,SRCHGRT,SRFSHGRT,SRCNOXR,SRONOXR,SRGNOXR,SRFSNXR,SRCNXOR,SRONXOR,SRGNXOR,SRFSNOR,SRCSO2R,SROSO2R,SRGSO2R,SRFSS2R,SRCCO2R,SROCO2R,SRGCO2R,SRFSC2R,SRCCH4R,SROCH4R,SRGCH4R,SRFCH4R,SRCN2OR,SRON2OR,SRGN2OR,SRFN2OR,SRCHGR,SRFSHGR,SRNBNOX,SRNBNXO,SRNBSO2,SRNBCO2,SRNBCH4,SRNBN2O,SRNBC2ER,SRNBHG,SRGENACL,SRGENAOL,SRGENAGS,SRGENANC,SRGENAHY,SRGENABM,SRGENAWI,SRGENASO,SRGENAGT,SRGENAOF,SRGENAOP,SRGENATN,SRGENATR,SRGENATH,SRGENACY,SRGENACN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SROFPR,SROPPR,SRTNPR,SRTRPR,SRTHPR,SRCYPR,SRCNPR,SRNBGNCL,SRNBGNOL,SRNBGNGS,SRNBGNNC,SRNBGNHY,SRNBGNBM,SRNBGNWI,SRNBGNSO,SRNBGNGT,SRNBGNOF,SRNBGNOP,SRNBCLPR,SRNBOLPR,SRNBGSPR,SRNBNCPR,SRNBHYPR,SRNBBMPR,SRNBWIPR,SRNBSOPR,SRNBGTPR,SRNBOFPR,SRNBOPPR
AKGD,ASCC Alaska Grid,"2,406","37,034,855","14,318,596","43,759,485","17,023,528","4,705,316","1,836,256","15,338","5,959","1,235","2,522,707","360,048","51,351","2,534,447",--,6.519,6.490,0.525,"1,072.280",0.077,0.011,"1,077.270",--,0.828,0.832,0.067,136.234,--,7.714,7.679,0.621,"1,268.676",0.091,0.013,--,1.353,7.646,8.962,7.658,1.070,7.129,8.968,7.658,1.655,3.238,0.030,0.624,"2,074.237","1,580.253","1,074.334","1,281.606",0.198,0.428,0.020,0.091,0.034,0.059,0.002,0.013,--,--,0.138,0.812,0.975,0.823,0.113,0.750,0.975,0.826,0.169,0.344,0.003,0.067,212.251,167.729,116.891,137.739,0.020,0.045,0.002,0.010,0.003,0.006,0.000,0.001,--,--,6.761,6.708,0.747,"1,367.763",0.110,0.016,"1,375.000",--,"594,139","430,961","2,911,689",0,"594,091","42,515","134,313",0,0,0,"-2,392","3,934,397","770,919","176,828","3,976,912","728,404",12.6,9.2,61.9,0.0,12.6,0.9,2.9,0.0,0.0,0.0,0.0,83.6,16.4,3.8,84.5,15.5,"365,657","380,984","1,700,153",0,0,"26,782",0,0,0,0,0,14.8,15.4,68.7,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
AKMS,ASCC Miscellaneous,"1,033","5,518,225","1,918,374","15,673,868","5,505,969","1,629,718","569,802","5,670","1,859",513,"409,976","38,011","6,516","411,385",--,6.958,6.524,0.630,503.125,0.023,0.004,504.854,--,2.055,1.938,0.186,148.590,--,21.410,20.073,1.939,"1,548.045",0.072,0.012,--,0.000,26.069,4.622,21.126,0.000,25.848,4.622,20.146,0.000,2.472,0.045,1.913,0.000,"1,501.498","1,628.103","1,530.678",0.000,0.083,0.031,0.071,0.000,0.015,0.003,0.012,--,--,0.000,2.827,0.332,2.050,0.000,2.829,0.332,1.932,0.000,0.268,0.003,0.186,0.000,162.837,116.889,148.524,0.000,0.009,0.002,0.007,0.000,0.002,0.000,0.001,--,--,21.790,20.846,1.965,"1,533.805",0.068,0.012,"1,538.913",--,0,"400,369","128,798",0,"1,065,061",502,"34,988",0,0,0,0,"529,167","1,100,551","35,490","529,669","1,100,049",0.0,24.6,7.9,0.0,65.4,0.0,2.1,0.0,0.0,0.0,0.0,32.5,67.5,2.2,32.5,67.5,0,"387,397","101,106",0,0,0,0,0,0,0,0,0.0,79.3,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZNM,WECC Southwest,"63,308","1,060,149,569","527,723,312","1,561,877,190","740,293,369","166,327,576","80,085,328","79,934","36,542","22,958","86,793,512","13,083,209","2,012,392","87,242,807",--,0.961,0.913,0.276,"1,043.645",0.079,0.012,"1,049.048",--,0.151,0.138,0.043,163.738,--,1.377,1.307,0.395,"1,495.060",0.113,0.017,--,2.664,29.031,0.395,1.364,2.623,28.326,0.355,1.233,0.861,8.147,0.006,0.371,"2,293.236","4,882.517",903.137,"1,497.000",0.232,0.198,0.015,0.108,0.037,0.040,0.002,0.017,--,--,0.241,0.971,0.052,0.150,0.236,0.971,0.047,0.138,0.078,0.273,0.001,0.041,207.295,163.325,118.777,164.843,0.021,0.007,0.002,0.012,0.003,0.001,0.000,0.002,--,--,1.299,1.136,0.354,"1,384.823",0.097,0.014,"1,391.222",--,"49,085,178","104,449","66,277,484","32,377,477","5,802,171","617,898","1,940,054","4,716,201","5,385,267",742,"21,307","147,866,637","18,461,592","12,659,421","116,107,058","50,221,170",29.5,0.1,39.8,19.5,3.5,0.4,1.2,2.8,3.2,0.0,0.0,88.9,11.1,7.6,69.8,30.2,"23,041,680",95,"42,794,636",0,0,"112,185",0,0,0,0,0,34.9,0.0,64.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
CAMX,WECC California,"110,656","884,398,707","405,336,540","1,713,552,164","806,187,556","200,602,485","95,564,645","56,897","25,296","5,193","52,945,255","6,674,292","859,757","53,148,495",--,0.567,0.529,0.052,527.862,0.033,0.004,529.889,--,0.129,0.125,0.012,119.732,--,1.001,0.935,0.091,931.894,0.059,0.008,--,2.428,30.238,0.623,0.790,2.375,38.004,0.599,0.760,0.638,1.585,0.008,0.061,"1,997.190","1,325.901",866.274,956.990,0.229,0.045,0.016,0.034,0.034,0.009,0.002,0.004,--,--,0.250,3.871,0.085,0.105,0.249,4.816,0.082,0.102,0.066,0.203,0.001,0.008,205.271,169.727,117.684,126.856,0.024,0.006,0.002,0.004,0.003,0.001,0.000,0.001,--,--,0.828,0.783,0.056,942.940,0.045,0.006,945.607,--,"8,709,847","187,090","97,097,197","18,907,578","24,291,998","5,725,591","14,112,410","21,349,070","8,312,055","1,426,816","482,833","126,811,360","73,791,124","49,499,126","113,629,373","86,973,112",4.3,0.1,48.4,9.4,12.1,2.9,7.0,10.6,4.1,0.7,0.2,63.2,36.8,24.7,56.6,43.4,"3,123,036","106,510","52,816,767",0,0,"1,771,444",0,0,0,"134,166",0,5.4,0.2,91.1,0.0,0.0,3.1,0.0,0.0,0.0,0.2,0.0
ERCT,ERCOT All,"159,336","2,454,551,298","1,258,466,620","3,406,537,638","1,639,516,879","389,939,062","187,148,582","106,195","53,445","201,832","196,754,749","29,743,399","4,196,730","197,714,011",--,0.545,0.571,1.035,"1,009.156",0.076,0.011,"1,014.076",--,0.087,0.085,0.164,160.318,--,0.726,0.761,1.379,"1,344.471",0.102,0.014,--,1.232,3.981,0.414,0.699,1.224,4.651,0.410,0.702,3.920,1.690,0.006,1.382,"2,298.299","2,297.627",842.964,"1,351.141",0.261,0.057,0.016,0.102,0.038,0.010,0.002,0.014,--,--,0.114,0.296,0.058,0.083,0.113,0.288,0.057,0.083,0.362,0.126,0.001,0.165,212.520,171.052,118.600,161.098,0.024,0.004,0.002,0.012,0.004,0.001,0.000,0.002,--,--,0.751,0.745,1.596,"1,402.821",0.108,0.015,"1,409.751",--,"101,006,613","178,137","187,922,725","42,079,445","1,173,035","1,085,421","53,296,815","702,602",0,"1,838,399","655,870","333,681,189","56,257,873","55,084,838","292,687,165","97,251,897",25.9,0.0,48.2,10.8,0.3,0.3,13.7,0.2,0.0,0.5,0.2,85.6,14.4,14.1,75.1,24.9,"57,717,555","178,704","95,034,043",0,0,"200,616",0,0,0,"2,256,041",0,37.1,0.1,61.2,0.0,0.0,0.1,0.0,0.0,0.0,1.5,0.0
FRCC,FRCC All,"97,820","1,665,956,581","815,625,409","1,990,986,265","953,407,578","229,407,929","109,423,685","61,022","29,949","42,714","116,043,999","17,313,122","2,354,796","116,579,672",--,0.532,0.547,0.372,"1,011.683",0.075,0.010,"1,016.353",--,0.073,0.073,0.051,139.312,--,0.611,0.629,0.428,"1,162.496",0.087,0.012,--,1.423,1.923,0.241,0.529,1.456,2.068,0.262,0.563,1.649,0.249,0.025,0.425,"2,058.727","1,812.025",894.905,"1,183.524",0.208,0.041,0.017,0.063,0.030,0.005,0.002,0.009,--,--,0.135,0.135,0.032,0.064,0.137,0.142,0.035,0.067,0.156,0.017,0.003,0.052,195.001,127.053,119.472,143.661,0.020,0.003,0.002,0.008,0.003,0.000,0.000,0.001,--,--,0.594,0.613,0.434,"1,188.485",0.078,0.011,"1,193.266",--,"36,790,858","2,814,817","152,730,471","29,320,022","174,551","5,615,419",0,"267,071",0,"19,074","1,675,646","223,350,888","6,057,041","5,882,490","199,646,285","29,761,644",16.0,1.2,66.6,12.8,0.1,2.4,0.0,0.1,0.0,0.0,0.7,97.4,2.6,2.6,87.0,13.0,"31,277,390","164,171","98,430,330",0,0,"2,303,194",0,0,0,"2,223,927",0,23.3,0.1,73.2,0.0,0.0,1.7,0.0,0.0,0.0,1.7,0.0
HIMS,HICC Miscellaneous,"1,164","20,112,677","8,265,311","27,638,965","11,686,215","2,741,704","1,180,395","10,207","4,117","6,168","1,579,244","259,100","41,628","1,588,417",--,7.445,6.975,4.500,"1,152.016",0.095,0.015,"1,158.708",--,1.015,0.996,0.613,157.040,--,10.596,9.927,6.404,"1,639.525",0.134,0.022,--,0.000,10.913,0.000,10.913,0.000,10.595,0.000,10.595,0.000,6.588,0.000,6.588,0.000,"1,688.235",0.000,"1,688.235",0.000,0.104,0.000,0.104,0.000,0.018,0.000,0.018,--,--,0.000,1.062,0.000,1.062,0.000,1.026,0.000,1.026,0.000,0.641,0.000,0.641,0.000,164.362,0.000,164.362,0.000,0.010,0.000,0.010,0.000,0.002,0.000,0.002,--,--,11.820,11.316,4.547,"1,529.999",0.147,0.023,"1,540.205",--,"5,526","1,691,007",0,0,"90,849","117,080","405,713","58,575","260,102",0,"112,852","1,809,385","932,319","841,470","1,926,465","815,239",0.2,61.7,0.0,0.0,3.3,4.3,14.8,2.1,9.5,0.0,4.1,66.0,34.0,30.7,70.3,29.7,0,"1,258,346",0,0,0,"93,196",0,0,0,0,0,0.0,93.1,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0
HIOA,HICC Oahu,"2,338","72,485,544","31,380,004","74,916,792","32,512,102","7,207,141","3,136,247","12,138","5,012","31,163","5,992,334","1,303,794","198,471","6,036,786",--,3.368,3.196,8.648,"1,662.888",0.181,0.028,"1,675.224",--,0.335,0.319,0.860,165.339,--,3.496,3.317,8.976,"1,725.954",0.188,0.029,--,1.083,4.118,0.000,3.412,,4.145,0.000,3.217,14.236,8.155,0.000,9.570,"2,257.710","1,572.084",0.000,"1,731.629",0.269,0.075,0.000,0.120,0.039,0.014,0.000,0.020,--,--,0.100,0.427,0.000,0.344,,0.432,0.000,0.326,1.314,0.846,0.000,0.965,208.432,163.084,0.000,174.610,0.025,0.008,0.000,0.012,0.004,0.001,0.000,0.002,--,--,4.100,4.156,8.148,"1,637.529",0.153,0.024,"1,648.314",--,"1,491,854","4,949,309",0,0,0,"439,249","233,414","29,936",0,"63,380",0,"6,504,542","702,599","702,599","6,943,791","263,350",20.7,68.7,0.0,0.0,0.0,6.1,3.2,0.4,0.0,0.9,0.0,90.3,9.7,9.7,96.3,3.7,0,"2,918,259",0,0,0,"263,502",0,0,0,0,0,0.0,91.7,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0
MROE,MRO East,"11,271","185,400,681","93,558,785","201,473,283","99,645,345","20,471,860","9,841,708","10,709","5,341","13,182","17,075,702","3,185,575","524,841","17,189,127",--,1.046,1.085,1.288,"1,668.212",0.156,0.026,"1,679.293",--,0.116,0.114,0.142,184.203,--,1.147,1.190,1.412,"1,829.197",0.171,0.028,--,1.070,1.359,0.653,0.980,1.141,1.171,0.671,1.027,1.659,2.969,0.400,1.392,"2,243.248","1,933.998","1,014.970","1,969.779",0.220,0.261,0.021,0.176,0.036,0.038,0.002,0.029,--,--,0.099,0.113,0.077,0.095,0.104,0.104,0.074,0.098,0.154,0.248,0.047,0.136,208.309,161.375,120.137,191.861,0.020,0.022,0.002,0.017,0.003,0.003,0.000,0.003,--,--,0.981,1.011,1.329,"1,740.055",0.156,0.025,"1,750.936",--,"13,210,512","129,948","4,206,325",0,"1,389,312","1,076,348","411,009","1,373",0,"17,410","29,624","17,593,818","2,878,042","1,488,730","18,670,166","1,801,694",64.5,0.6,20.5,0.0,6.8,5.3,2.0,0.0,0.0,0.1,0.1,85.9,14.1,7.3,91.2,8.8,"7,776,070","137,768","3,648,799",0,0,"676,443",0,0,0,0,0,63.5,1.1,29.8,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
MROW,MRO West,"74,698","1,358,775,879","615,546,370","2,180,317,236","928,725,934","218,204,106","92,947,941","113,818","49,081","151,871","135,157,509","25,085,400","4,436,606","136,096,717",--,1.043,1.056,1.392,"1,238.817",0.115,0.020,"1,247.426",--,0.168,0.159,0.224,198.940,--,1.708,1.729,2.278,"2,027.638",0.188,0.033,--,1.803,3.124,0.378,1.654,1.731,3.175,0.404,1.571,2.591,0.274,0.034,2.311,"2,202.718",611.902,989.916,"2,068.415",0.198,0.026,0.021,0.179,0.036,0.004,0.002,0.032,--,--,0.173,0.719,0.045,0.162,0.167,0.715,0.047,0.155,0.249,0.063,0.004,0.227,211.432,140.854,118.546,203.188,0.019,0.006,0.002,0.018,0.003,0.001,0.000,0.003,--,--,1.584,1.479,2.024,"1,821.967",0.154,0.029,"1,833.986",--,"115,022,479","354,562","14,581,753","27,914,072","10,882,472","2,810,204","46,076,082","16,266",0,"62,941","483,275","158,419,081","59,785,024","48,902,552","133,315,214","84,888,892",52.7,0.2,6.7,12.8,5.0,1.3,21.1,0.0,0.0,0.0,0.2,72.6,27.4,22.4,61.1,38.9,"36,834,411","195,470","12,423,807",0,0,"1,607,065",0,0,0,0,0,72.1,0.4,24.3,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
NEWE,NPCC New England,"44,890","557,588,325","269,305,616","986,820,133","438,343,481","107,729,043","48,641,983","20,945","9,056","6,773","30,064,802","9,678,813","1,277,296","30,364,329",--,0.389,0.372,0.126,558.156,0.090,0.012,563.717,--,0.075,0.067,0.024,107.839,--,0.635,0.608,0.205,911.691,0.147,0.019,--,1.344,3.729,0.181,0.267,1.273,3.194,0.175,0.240,1.085,2.386,0.035,0.104,"2,225.227","1,633.237",866.888,933.923,0.261,0.050,0.017,0.028,0.038,0.009,0.002,0.003,--,--,0.123,0.326,0.025,0.036,0.110,0.275,0.024,0.032,0.099,0.209,0.005,0.014,203.724,142.767,118.695,124.474,0.024,0.004,0.002,0.004,0.003,0.001,0.000,0.000,--,--,0.522,0.438,0.232,975.136,0.086,0.011,980.492,--,"2,544,142","693,211","53,630,826","32,750,973","5,671,945","8,834,084","2,646,006","706,196",0,"149,108","102,550","89,870,810","17,858,231","12,186,286","65,953,922","41,775,119",2.4,0.6,49.8,30.4,5.3,8.2,2.5,0.7,0.0,0.1,0.1,83.4,16.6,11.3,61.2,38.8,"2,476,151","532,725","28,967,444",0,0,"2,295,260",0,0,0,0,0,7.2,1.6,84.5,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0
NWPP,WECC Northwest,"90,679","1,070,374,961","479,851,987","2,670,340,681","1,113,857,432","284,912,897","119,263,640","87,195","38,946","62,608","92,767,480","17,380,763","2,690,704","93,367,005",--,0.612,0.653,0.439,651.199,0.061,0.009,655.407,--,0.163,0.162,0.117,173.336,--,1.543,1.646,1.108,"1,641.241",0.154,0.024,--,2.139,0.079,0.482,1.468,2.134,0.109,0.525,1.452,1.859,0.006,0.008,1.112,"2,252.397",3.962,908.172,"1,706.110",0.236,0.000,0.017,0.147,0.037,0.000,0.002,0.023,--,--,0.198,3.064,0.062,0.154,0.199,3.067,0.068,0.154,0.172,0.218,0.001,0.117,208.453,152.800,117.550,179.022,0.022,0.006,0.002,0.015,0.003,0.001,0.000,0.002,--,--,1.387,1.406,0.844,"1,524.886",0.124,0.020,"1,533.809",--,"64,014,901","546,885","43,508,251","9,625,622","134,592,019","3,815,611","24,479,778","1,301,577","1,868,383","822,465","337,403","118,855,527","166,057,368","31,465,349","113,045,516","171,867,379",22.5,0.2,15.3,3.4,47.2,1.3,8.6,0.5,0.7,0.3,0.1,41.7,58.3,11.0,39.7,60.3,"24,942,845","32,086","24,779,269",0,0,"1,815,789",0,0,0,0,0,48.4,0.1,48.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
NYCW,NPCC NYC/Westchester,"16,614","238,234,905","125,953,414","396,446,145","189,121,478","44,416,982","21,027,902","5,719","3,427",345,"14,120,374","980,440","115,255","14,148,533",--,0.258,0.326,0.016,635.810,0.022,0.003,637.078,--,0.048,0.054,0.003,118.542,--,0.391,0.494,0.024,964.201,0.033,0.004,--,0.000,0.635,0.255,0.324,0.000,0.690,0.311,0.400,0.000,0.031,0.013,0.016,0.000,"1,212.818",895.180,952.759,0.000,0.022,0.015,0.016,0.000,0.002,0.002,0.002,--,--,0.000,0.063,0.034,0.040,0.000,0.068,0.040,0.048,0.000,0.003,0.002,0.002,0.000,119.361,119.127,119.181,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,--,--,0.473,0.562,0.024,"1,061.676",0.022,0.002,"1,062.856",--,0,"196,127","28,705,805","15,126,169",0,"387,353",0,"1,528",0,0,0,"44,028,101","388,881","388,881","29,289,285","15,127,697",0.0,0.4,64.6,34.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,99.1,0.9,0.9,65.9,34.1,0,"5,003,650","11,005,968",0,0,"38,299",0,0,0,0,0,0.0,31.2,68.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
NYLI,NPCC Long Island,"6,275","118,422,140","65,931,783","119,296,256","66,382,117","11,777,168","6,378,047","5,070","2,678",924,"6,938,646","1,489,037","190,530","6,983,813",--,0.861,0.840,0.157,"1,178.322",0.126,0.016,"1,185.992",--,0.086,0.081,0.016,117.185,--,0.868,0.847,0.158,"1,187.872",0.127,0.016,--,0.000,6.494,0.569,0.632,0.000,6.735,0.586,0.661,0.000,4.296,0.115,0.160,0.000,"2,381.190","1,116.037","1,129.489",0.000,0.093,0.021,0.022,0.000,0.019,0.002,0.002,--,--,0.000,0.443,0.061,0.067,0.000,0.361,0.060,0.067,0.000,0.293,0.012,0.017,0.000,162.440,119.844,120.553,0.000,0.006,0.002,0.002,0.000,0.001,0.000,0.000,--,--,0.931,0.878,0.282,"1,338.799",0.036,0.004,"1,340.899",--,0,"318,445","10,425,355",0,0,"938,685",0,"94,684",0,0,0,"10,743,800","1,033,369","1,033,369","11,682,484","94,684",0.0,2.7,88.5,0.0,0.0,8.0,0.0,0.8,0.0,0.0,0.0,91.2,8.8,8.8,99.2,0.8,0,"114,211","5,804,016",0,0,"31,984",0,0,0,0,0,0.0,1.9,97.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
NYUP,NPCC Upstate NY,"30,844","211,022,137","106,530,522","774,337,597","337,794,053","84,093,338","36,918,970","12,357","5,819","7,905","12,389,521","1,759,516","228,172","12,443,363",--,0.294,0.315,0.188,294.661,0.021,0.003,295.942,--,0.117,0.109,0.075,117.424,--,0.913,0.980,0.584,915.712,0.065,0.008,--,1.803,1.979,0.275,0.424,1.638,1.750,0.272,0.431,7.768,1.202,0.017,0.601,"2,018.873","1,004.977",860.407,947.055,0.236,0.040,0.019,0.035,0.034,0.009,0.002,0.004,--,--,0.184,0.222,0.038,0.057,0.167,0.176,0.038,0.057,0.793,0.135,0.002,0.081,205.996,112.762,118.819,126.893,0.024,0.004,0.003,0.005,0.004,0.001,0.000,0.001,--,--,0.792,0.770,0.920,"1,018.249",0.061,0.008,"1,022.002",--,"1,770,238","159,964","23,313,195","26,444,821","26,605,081","1,788,654","3,940,180","43,399",0,0,"27,806","51,716,024","32,377,314","5,772,233","27,059,857","57,033,481",2.1,0.2,27.7,31.4,31.6,2.1,4.7,0.1,0.0,0.0,0.0,61.5,38.5,6.9,32.2,67.8,"1,825,228","428,033","13,771,173",0,0,"473,804",0,0,0,0,0,11.1,2.6,83.5,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
RFCE,RFC East,"98,917","1,438,967,009","703,610,074","2,682,426,396","1,198,532,933","283,222,518","127,384,100","83,502","35,667","80,873","107,366,532","14,116,960","2,639,061","107,923,713",--,0.590,0.560,0.571,758.178,0.050,0.009,762.113,--,0.116,0.101,0.112,149.227,--,1.016,0.965,0.984,"1,306.992",0.086,0.016,--,2.056,1.774,0.249,0.877,1.706,1.603,0.288,0.773,3.007,0.105,0.024,0.972,"2,211.047","1,339.899",895.941,"1,328.802",0.150,0.027,0.020,0.061,0.036,0.003,0.002,0.013,--,--,0.192,0.160,0.033,0.102,0.159,0.144,0.038,0.089,0.280,0.009,0.003,0.113,206.036,120.885,120.335,154.195,0.014,0.002,0.003,0.007,0.003,0.000,0.000,0.002,--,--,1.236,1.115,1.225,"1,434.424",0.079,0.017,"1,441.398",--,"49,897,428","704,722","107,690,210","112,349,801","2,602,509","5,333,770","2,868,076","1,106,448",0,"595,561","73,993","271,311,715","11,910,803","9,308,294","164,295,685","118,926,834",17.6,0.2,38.0,39.7,0.9,1.9,1.0,0.4,0.0,0.2,0.0,95.8,4.2,3.3,58.0,42.0,"28,524,509","5,337,586","39,697,240",0,0,"1,751,474",0,0,0,"1,264",0,37.9,7.1,52.7,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0
RFCM,RFC Michigan,"32,930","682,504,960","318,488,158","898,130,876","400,718,087","92,326,063","40,649,367","41,784","18,391","78,958","58,721,434","6,158,404","1,623,368","59,037,719",--,0.905,0.905,1.710,"1,272.045",0.067,0.018,"1,278.896",--,0.122,0.115,0.231,172.076,--,1.163,1.162,2.197,"1,634.044",0.086,0.023,--,1.438,5.685,0.418,1.017,1.369,6.770,0.441,0.981,3.824,4.345,0.037,2.223,"2,242.296","1,450.649",895.615,"1,670.193",0.116,0.065,0.017,0.074,0.036,0.011,0.002,0.021,--,--,0.134,0.849,0.055,0.108,0.126,1.051,0.056,0.103,0.356,0.649,0.005,0.236,208.494,216.561,117.973,177.582,0.011,0.010,0.002,0.008,0.003,0.002,0.000,0.002,--,--,1.300,1.217,2.809,"1,806.070",0.101,0.025,"1,816.085",--,"38,380,196","807,100","29,084,086","16,191,947","-192,893","1,854,255","4,445,865","8,630",0,"1,744,792","2,087","86,210,207","6,115,857","6,308,750","71,872,515","20,453,549",41.5,0.9,31.4,17.5,0.0,2.0,4.8,0.0,0.0,1.9,0.0,93.2,6.6,6.8,77.7,22.1,"26,405,289","109,758","13,628,096",0,0,"608,796",0,0,0,0,0,64.8,0.3,33.4,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
